file_name,filter_type,exposure_time,id_star,x_star,y_star,r_circle,r_in,r_out,npix_source,s_source_AVG,s_source_median,s_source_sum,npix_sky,s_sky_AVG,s_sky_median,s_sky_sum,SNR_AVG,SNR_median,SNR_sum
CCDA-LIGHT-20200228004148,i_prime,1,1,,,1.0,2.0,3.0,3.0,1064.0,1065.0,3192.0,16.0,1038.12,1042.0,16610.0,14.941584064782411,14.933816925293723,12.750286346477296
CCDA-LIGHT-20200228004258,i_prime,3,1,,,2.0,4.0,6.0,14.0,1092.5,1082.0,15295.0,61.0,1062.98,1066.0,64842.0,7.559475752221414,7.479397749173892,14.369744168280814
CCDA-LIGHT-20200228004351,i_prime,5,1,,,2.0,4.0,6.0,11.0,1143.91,1126.0,12583.0,64.0,1060.86,1062.0,67895.0,9.05937346791932,8.918431581705258,13.346079192631871
CCDA-LIGHT-20200228004453,i_prime,30,1,1157.82,1874.0,3.0,6.0,9.0,28.0,1354.29,1177.0,37920.0,145.0,1113.3,1110.0,161428.0,6.64108006435452,5.791754162344648,16.267386120380102
CCDA-LIGHT-20200228004637,i_prime,60,1,,,3.0,6.0,9.0,29.0,1645.41,1265.0,47717.0,143.0,1168.69,1168.0,167123.0,7.693417436446895,5.941066313501379,19.67734758449345
CCDA-LIGHT-20200228005010,i_prime,180,1,1157.94,1874.0,3.5,7.0,10.5,40.0,2411.85,1547.0,96474.0,193.0,1401.58,1405.0,270505.0,8.773275060025426,5.653554113254823,26.589188536426075
CCDB-LIGHT-20200228004127,r_prime,1,1,,,1.5,3.0,4.5,7.0,1096.0,1100.0,7676.0,38.0,1052.11,1057.0,39980.0,10.677759402974756,10.694150374552766,13.167962371150185
CCDB-LIGHT-20200228004239,r_prime,3,1,,,2.0,4.0,6.0,12.0,1146.0,1128.0,13752.0,63.0,1080.44,1078.0,68068.0,8.584123448362291,8.461851232457802,13.839507066194926
CCDB-LIGHT-20200228004330,r_prime,5,1,,,2.5,5.0,7.5,21.0,1176.9,1136.0,24715.0,103.0,1086.3,1087.0,111889.0,6.701028173775583,6.470586046888479,14.625416948906347
CCDB-LIGHT-20200228004432,r_prime,30,1,,,4.0,8.0,12.0,50.0,1446.16,1280.0,72308.0,251.0,1197.85,1198.0,300661.0,5.1541781578419865,4.566537138452505,16.993457301438024
CCDB-LIGHT-20200228004616,r_prime,60,1,,,4.0,8.0,12.0,49.0,1836.18,1496.0,89973.0,252.0,1326.62,1325.0,334307.0,6.295486362781342,5.142316986557481,20.290861209779912
CCDB-LIGHT-20200228004950,r_prime,180,1,1130.85,1912.21,4.3,8.6,12.9,55.0,3197.07,2155.0,175839.0,300.0,1825.45,1824.0,547636.0,8.887962451548818,6.017456889434579,29.37790915293671
CCDC-LIGHT-20200228004146,g_prime,1,1,,,1.0,2.0,3.0,3.0,1063.33,1061.0,3190.0,16.0,1044.5,1052.0,16712.0,14.899803330111894,14.831684867618849,12.705719710353982
CCDC-LIGHT-20200228004300,g_prime,3,1,,,1.0,2.0,3.0,3.0,1099.0,1108.0,32297.0,16.0,1084.94,1083.0,17359.0,15.13334517798089,15.254255620210005,105.09097706608978
CCDC-LIGHT-20200228004350,g_prime,5,1,,,2.0,4.0,6.0,11.0,1128.91,1128.0,12418.0,66.0,1089.17,1091.0,71558.0,8.862398757478918,8.84910128166469,12.863972348114098
CCDC-LIGHT-20200228004453,g_prime,30,1,,,5.0,10.0,15.0,76.0,1289.39,1260.0,97994.0,394.0,1165.9,1163.0,459364.0,3.7982603256488665,3.7164001480084172,15.165618689620203
CCDC-LIGHT-20200228004637,g_prime,60,1,,,5.0,10.0,15.0,75.0,1514.29,1461.0,113572.0,394.0,1269.81,1267.0,500304.0,4.3106718547621155,4.164108111789085,16.970418897623112
CCDC-LIGHT-20200228005012,g_prime,180,1,1128.0,1897.0,6.0,12.0,18.0,116.0,2166.73,1899.0,251341.0,562.0,1672.36,1666.0,939867.0,4.315509901037148,3.7909834936600717,21.893425976945043
CCDA-LIGHT-20200228004148,i_prime,1,2,,,,,,,,,,,,,,,,
CCDA-LIGHT-20200228004258,i_prime,3,2,,,,,,,,,,,,,,,,
CCDA-LIGHT-20200228004351,i_prime,5,2,,,,,,,,,,,,,,,,
CCDA-LIGHT-20200228004453,i_prime,30,2,,,,,,,,,,,,,,,,
CCDA-LIGHT-20200228004637,i_prime,60,2,,,,,,,,,,,,,,,,
CCDA-LIGHT-20200228005010,i_prime,180,2,,,,,,,,,,,,,,,,
CCDB-LIGHT-20200228004127,r_prime,1,2,,,,,,,,,,,,,,,,
CCDB-LIGHT-20200228004239,r_prime,3,2,,,,,,,,,,,,,,,,
CCDB-LIGHT-20200228004330,r_prime,5,2,,,,,,,,,,,,,,,,
CCDB-LIGHT-20200228004432,r_prime,30,2,,,,,,,,,,,,,,,,
CCDB-LIGHT-20200228004616,r_prime,60,2,,,,,,,,,,,,,,,,
CCDB-LIGHT-20200228004950,r_prime,180,2,,,,,,,,,,,,,,,,
CCDC-LIGHT-20200228004146,g_prime,1,2,,,,,,,,,,,,,,,,
CCDC-LIGHT-20200228004300,g_prime,3,2,,,,,,,,,,,,,,,,
CCDC-LIGHT-20200228004350,g_prime,5,2,,,,,,,,,,,,,,,,
CCDC-LIGHT-20200228004453,g_prime,30,2,,,,,,,,,,,,,,,,
CCDC-LIGHT-20200228004637,g_prime,60,2,,,,,,,,,,,,,,,,
CCDC-LIGHT-20200228005012,g_prime,180,2,,,,,,,,,,,,,,,,
