file_name,filter_type,exposure_time,id_star,x_star,y_star,Magnitude,r_circle,r_in,r_out,npix_source,s_source_AVG,s_source_median,s_source_sum,npix_sky,s_sky_AVG,s_sky_median,s_sky_sum,SNR_AVG,SNR_median,SNR_sum
CCDC-LIGHT-20210110233126,g_prime,900,1,1013.0,1314.0,,3.5,7.0,10.5,38.0,4364.24,3594.0,165841.0,195.0,3386.66,3380.0,660398.0,10.641552339877878,8.79151476115889,30.197187351849674
CCDC-LIGHT-20210110231520,g_prime,600,1,,,,3.5,7.0,10.5,39.0,3129.0,2610.0,122031.0,191.0,2475.39,2475.0,472799.0,8.757110779180808,7.320008871383473,25.8215088944123
CCDC-LIGHT-20210110230348,g_prime,540,1,,,,3.5,7.0,10.5,35.0,2931.6,2442.0,102606.0,189.0,2281.97,2283.0,429011.0,9.06704761095306,7.568975087409869,24.248157012870017
CCDC-LIGHT-20210110225339,g_prime,480,1,,,,3.5,7.0,10.5,40.0,2616.93,2238.0,104677.0,195.0,2088.69,2089.0,407295.0,7.8567525127918145,6.730148537023744,23.55653608831058
CCDC-LIGHT-20210110224433,g_prime,420,1,,,,3.5,7.0,10.5,37.0,2412.81,2011.0,89274.0,195.0,1915.08,1906.0,373440.0,7.89934447818158,6.612315851876162,21.954549854869065
CCDC-LIGHT-20210110223627,g_prime,360,1,,,,3.5,7.0,10.5,39.0,2168.41,1826.0,84568.0,195.0,1761.1,1760.0,343415.0,7.1817870105109005,6.060830806279886,21.035146667776228
CCDC-LIGHT-20210110222939,g_prime,300,1,,,,3.5,7.0,10.5,39.0,1947.59,1713.0,75956.0,193.0,1607.36,1615.0,310220.0,6.741272831348886,5.924892330059544,19.861262725964195
CCDC-LIGHT-20210110222359,g_prime,270,1,,,,3.5,7.0,10.5,39.0,1835.92,1608.0,71601.0,190.0,1533.49,1532.0,291363.0,6.495537591086263,5.699789367554452,19.293108985474543
CCDC-LIGHT-20210110221850,g_prime,240,1,,,,3.5,7.0,10.5,39.0,1744.69,1542.0,68043.0,188.0,1456.32,1461.0,273789.0,6.324848518357843,5.589407123298747,18.89598484456667
CCDC-LIGHT-20210110221318,g_prime,210,1,,,,3.5,7.0,10.5,38.0,1620.34,1443.0,61573.0,184.0,1385.99,1384.0,255022.0,6.099329332562545,5.4421462589765,17.955672177354543
CCDC-LIGHT-20210110220908,g_prime,180,1,,,,3.5,7.0,10.5,41.0,1486.02,1360.0,60927.0,192.0,1310.45,1313.0,251607.0,5.525251595506304,5.056659883170429,17.17423687898908
CCDC-LIGHT-20210110220521,g_prime,150,1,,,,3.5,7.0,10.5,38.0,1420.21,1289.0,53968.0,191.0,1240.61,1239.0,236956.0,5.662375939967883,5.1476179900766175,16.38051076610772
CCDC-LIGHT-20210110220204,g_prime,120,1,,,,3.5,7.0,10.5,39.0,1312.38,1217.0,51183.0,194.0,1173.7,1172.0,227697.0,5.305715945074093,4.927163674241675,15.631438264660828
CCDC-LIGHT-20210110215929,g_prime,90,1,,,,3.5,7.0,10.5,38.0,1223.76,1152.0,46503.0,193.0,1110.31,1113.0,214289.0,5.158886996995521,4.854193856460744,14.856874466194803
CCDC-LIGHT-20210110215716,g_prime,60,1,,,,3.5,7.0,10.5,37.0,1129.35,1082.0,41786.0,200.0,1045.74,1043.0,211124.0,4.9926987715766415,4.791219085911203,13.700177253112773
CCDC-LIGHT-20210110215533,g_prime,45,1,,,,3.5,7.0,10.5,37.0,1082.76,1053.0,40062.0,197.0,1026.44,1020.0,202209.0,4.828179701976951,4.7101460228526815,13.405417967452474
CCDC-LIGHT-20210110215402,g_prime,30,1,1014.0,1015.0,,3.5,7.0,10.5,37.0,1043.19,1020.0,38598.0,195.0,1012.91,1000.0,197517.0,4.682294798467822,4.605731790091633,13.057908367832033
CCDC-LIGHT-20210110215243,g_prime,25,1,,,,3.5,7.0,10.5,38.0,1036.37,1017.0,39382.0,198.0,1010.56,1000.0,200094.0,4.593862726686367,4.530205543684367,13.050480133404195
CCDC-LIGHT-20210110215130,g_prime,20,1,,,,3.5,7.0,10.5,39.0,1030.18,1007.0,40177.0,196.0,1010.58,1000.0,198074.0,4.497373079207918,4.418036265167616,13.170067333753606
CCDC-LIGHT-20210110215033,g_prime,15,1,,,,3.5,7.0,10.5,39.0,1028.9,1014.0,40127.0,193.0,1010.35,1000.0,194997.0,4.488131011154612,4.444332967761125,13.239623680031007
CCDC-LIGHT-20210110214904,g_prime,10,1,,,,3.5,7.0,10.5,39.0,1026.95,1014.0,40051.0,196.0,1012.51,1000.0,198452.0,4.482551281756145,4.4514534301770095,13.116452473426891
CCDC-LIGHT-20210110214719,g_prime,5,1,,,,3.5,7.0,10.5,37.0,1031.43,1025.0,38163.0,198.0,1024.84,1018.0,202919.0,4.618820647495496,4.604211868169159,12.754341102014855
CCDC-LIGHT-20210110214547,g_prime,1,1,,,,3.5,7.0,10.5,40.0,1052.22,1050.0,42089.0,195.0,1046.81,1043.0,204127.0,4.458786583598074,4.456823469216198,13.386072449126038
CCDA-LIGHT-20210110233124,i_prime,900,1,1330.0,1179.0,,3.5,7.0,10.5,37.0,5595.65,4987.0,207039.0,193.0,4637.22,4640.0,894983.0,11.934522651884482,10.64815943311035,32.867669959771995
CCDA-LIGHT-20210110231516,i_prime,600,1,,,,3.5,7.0,10.5,37.0,3946.3,3532.0,146013.0,195.0,3288.04,3287.0,641168.0,9.976840569601006,8.94258589263148,27.40931201932646
CCDA-LIGHT-20210110230348,i_prime,540,1,,,,3.5,7.0,10.5,38.0,3592.05,3253.0,136498.0,192.0,3029.96,3025.0,581753.0,9.30125309817186,8.43931299051767,26.452900265728854
CCDA-LIGHT-20210110225335,i_prime,480,1,,,,3.5,7.0,10.5,39.0,3234.79,2933.0,126157.0,193.0,2742.27,2746.0,529259.0,8.669374294901898,7.8641498036475666,25.258852181210106
CCDA-LIGHT-20210110224435,i_prime,420,1,,,,3.5,7.0,10.5,40.0,2947.88,2644.0,117915.0,195.0,2534.5,2535.0,494228.0,8.10365058310565,7.275987502881464,24.09468904809504
CCDA-LIGHT-20210110223626,i_prime,360,1,,,,3.5,7.0,10.5,40.0,2667.05,2468.0,106682.0,198.0,2290.46,2289.0,453511.0,7.713616081437552,7.1459772131146115,22.786867249470223
CCDA-LIGHT-20210110222938,i_prime,300,1,,,,3.5,7.0,10.5,39.0,2378.05,2200.0,92744.0,193.0,2071.69,2072.0,399836.0,7.315693396708442,6.7731936319255635,21.36507606074784
CCDA-LIGHT-20210110222358,i_prime,270,1,,,,3.5,7.0,10.5,37.0,2270.41,2122.0,84005.0,186.0,1957.54,1963.0,364102.0,7.376259801383094,6.890685295847544,20.844668443527745
CCDA-LIGHT-20210110221850,i_prime,240,1,,,,3.5,7.0,10.5,40.0,2135.07,2013.0,85403.0,192.0,1890.38,1890.0,362953.0,6.771220685775287,6.388598035231898,20.337476869405155
CCDA-LIGHT-20210110221320,i_prime,210,1,,,,3.5,7.0,10.5,39.0,1965.97,1861.0,76673.0,191.0,1771.75,1770.0,338405.0,6.52737477336693,6.185239225263731,19.18333467439406
CCDA-LIGHT-20210110220909,i_prime,180,1,,,,3.5,7.0,10.5,37.0,1867.68,1784.0,69104.0,199.0,1673.17,1676.0,332961.0,6.592326439036431,6.2953742038088905,18.03341043108156
CCDA-LIGHT-20210110220518,i_prime,150,1,,,,3.5,7.0,10.5,39.0,1711.82,1645.0,66761.0,196.0,1565.42,1567.0,306822.0,6.051911201145997,5.815421390655872,17.581523940207752
CCDA-LIGHT-20210110220207,i_prime,120,1,,,,3.5,7.0,10.5,37.0,1609.78,1553.0,59562.0,199.0,1469.51,1474.0,292433.0,6.055230745242138,5.835864222208589,16.586048372987456
CCDA-LIGHT-20210110215929,i_prime,90,1,,,,3.5,7.0,10.5,37.0,1464.86,1432.0,54200.0,186.0,1365.78,1364.0,256035.0,5.681050180755441,5.5582879428707725,16.041118108610462
CCDA-LIGHT-20210110215714,i_prime,60,1,,,,3.5,7.0,10.5,37.0,1347.57,1327.0,49860.0,191.0,1269.82,1191.0,242536.0,5.427314129252716,5.503046309681041,15.19564430102381
CCDA-LIGHT-20210110215535,i_prime,45,1,,,,3.5,7.0,10.5,37.0,1272.95,1255.0,47099.0,193.0,1223.49,1224.0,236134.0,5.225974823221025,5.1520858040712945,14.56065440398005
CCDA-LIGHT-20210110215403,i_prime,30,1,,,,3.5,7.0,10.5,39.0,1198.87,1187.0,46756.0,192.0,1175.79,1178.0,225752.0,4.868527673456639,4.8166787664556985,14.331457938005803
CCDA-LIGHT-20210110215244,i_prime,25,1,,,,3.5,7.0,10.5,39.0,1168.08,1166.0,45555.0,197.0,1148.44,1149.0,226242.0,4.8072711679923525,4.797732415938364,13.978938027512621
CCDA-LIGHT-20210110215132,i_prime,20,1,,,,3.5,7.0,10.5,39.0,1137.26,1128.0,44353.0,189.0,1126.02,1125.0,212817.0,4.709075991249867,4.673026907296049,13.982999581068599
CCDA-LIGHT-20210110215031,i_prime,15,1,,,,3.5,7.0,10.5,40.0,1126.47,1120.0,45059.0,193.0,1110.75,1111.0,214375.0,4.635638639420168,4.608794725856178,13.971164140600182
CCDA-LIGHT-20210110214905,i_prime,10,1,,,,3.5,7.0,10.5,37.0,1059.3,1088.0,40526.0,189.0,1090.73,1092.0,206148.0,4.592222233193601,4.71288309586824,13.38643791255889
CCDA-LIGHT-20210110214719,i_prime,5,1,,,,3.5,7.0,10.5,39.0,1083.28,1083.0,42248.0,189.0,1073.77,1076.0,202443.0,4.589755982562964,4.584266209292632,13.656258405974356
